type,n_flows,ELBO,k_hat
Mean-field,NaN,-33.406,0.871
Full-rank,NaN,-32.598,0.8226
Planar,4,-33.297,0.8329
Planar,8,-32.728,0.8066
Planar,16,-32.412,0.77
Planar,32,-31.791,0.6379
Planar,64,-32.097,0.601
Planar,128,-32.152,0.5873
Radial,4,-37.756,0.9209
Radial,8,-37.683,0.8979
Radial,16,-35.904,0.876
Radial,32,-33.292,0.8203
Radial,64,-32.003,0.6482
Radial,128,-32.016,0.6494
Inverse Autoregressive,4,-31.476,0.58
Inverse Autoregressive,8,-31.548,0.6419
Inverse Autoregressive,16,-31.674,0.5494
Inverse Autoregressive,32,-31.712,0.4818
